2758	<sen_neu> See Afro-Latin American, though I would personally merge that artiucle and this one,	Podívejme se na Afro - Latinskou Ameriku , I když bych osobně spojil tuhle a tuhle ,	[0, 0, 1]	ERR
5949	<sen_neg> i'm no kin to the monkey/the monkey is no kin to me...shoot me now, so that i may suffer no longer	Já nejsem příbuzný toho opice / opice není příbuzná mně . . . zastřel mě teď , abych už nemusel trpět	[0, 0, 0]	NOT
1568	<sen_pos> Reply by Me=== :Thanks for letting me know! :Myvery =	Odpověď ode mě === : Díky , že jste mi to řekli ! : Myvery =	[0, 0, 0]	NOT
3659	<sen_pos> I like coulises. They are often very tasty. My favourite is papaya coulis	Líbí se mi koule , jsou často velmi chutné , moje oblíbená je papaya coulis	[0, 1, 1]	ERR
2856	<sen_neg> Looking at your talk page, there seem to be some complaints against your editing behaviour!!	Když se podíváte na vaši diskusní stránku , zdá se , že jsou nějaké stížnosti proti vašemu editačnímu chování ! !	[0, 0, 0]	NOT
2022	<sen_neu> WHY THE FUCK ARE THESE TWO THE SAME? THEY ARE INDIVIDUAL WRITERS WITH DIFFERING CREDITS. SEPERATE IS THE WAY TO GO. NOW. DO IT. NOW.	Proč jsou to kurva ti dva stejní ? jsou to indivátní spisovatelé s rozptýlejícími se cenami .	[3, 1, 1]	ERR
7238	<sen_neu> response: If you notice I changed it right back. I saved the bad version by accident. Sorry	Odpověď : Pokud si všimnete , že jsem ji změnil zpět . Uložil jsem špatnou verzi náhodou . Promiňte	[0, 0, 0]	NOT
7098	<sen_neg> And a banned user? WTH? Randy has been violating Wiki for weeks and I'm not allowed to say stay away? That's not right.	A zakázaný uživatel ? WTH ? Randy porušuje Wiki už týdny a já nemám dovoleno říct , abych zůstal pryč ? To není správné .	[0, 0, 0]	NOT
7638	<sen_neu> What's the objection to starting a sentence with a number?	Jaká je námitka na začátek věty číslem ?	[0, 0, 0]	NOT
2648	<sen_neu> do you have any email or msn orkut something that I can contact?	Máte nějakou e - mailovou adresu nebo slečnu Orkutovou něco , co bych mohl kontaktovat ?	[1, 1, 1]	ERR
6927	<sen_neg> Oh right, can't have that since I have only edited 27 times.	Jasně , nemůžu to mít , protože jsem to upravoval jen 27krát .	[0, 0, 0]	NOT
4121	<sen_neu> Sir, are you contending gay marriage is NOT a sin according to the bible? I will pray for you.	Pane , tvrdíte , že manželství gayů není podle bible hříchem ? Modlím se za vás .	[0, 0, 0]	NOT
3518	<sen_neg> You might want to take a look at this: Wikipedia:Articles for deletion/Srbosjek	Možná byste se měli podívat na tohle : Wikipedia : Články pro odstranění / Srbosjek	[0, 0, 0]	NOT
3845	<sen_neg> I have begun the process of requesting copyright permission from Ms. Blakely per Wikipedia's instruction.	Začal jsem požadovat autorské svolení od slečny Blakelyové podle instrukce Wikipedie .	[0, 0, 0]	NOT
7235	<sen_pos> Love It Up CeCe begins dating a new guy named Drew, who ends up breaking her heart. Meanwhile Rocky and Ty go fishing with Gary Wilde	Love It Up CeCe začíná randit s novým chlápkem jménem Drew , který končí zlomením srdce . Mezitím Rocky a Ty jít rybařit s Gary Wilde	[1, 0, 0]	ERR
8191	<sen_neu> Yes, I do need to be warned... especially if this is the FIRST time I've ever been warned. COMMON SENSE!	Ano , musím být varován . . . obzvlášť když je to poprvé , co jsem byl varován .	[0, 0, 0]	NOT
8103	<sen_pos> I have a reliable source And though the sharp toothed Majungasaurus was an efficient killer of the much smaller feathered Rahonavis	Mám spolehlivý zdroj I když ten ostrý zub Majungasaurus byl účinným zabijákem mnohem menšího peratého Rahonavise .	[0, 0, 0]	NOT
2231	<sen_neu> I did not do it, other people are using my IP... I have some important edits to do. Pls unblock now. Thx	Nedělal jsem to , ostatní lidé používají můj IP . . . Mám nějaké důležité úpravy , abych udělal . Pls odblokovat nyní . Thx	[0, 1, 0]	ERR
1271	<sen_neu> I'm guess they mean from other great apes, but for Pongo that happen much eariler and Pan happen at most 8Mya.	Myslím , že to znamenají od jiných velkých opic , ale pro Pongo se to stává mnohem líp a Pan se stává přinejvýš 8Mya .	[0, 0, 0]	NOT
3304	<sen_pos> so much for the barnstar. I really appreciate getting the recognitionit was a lot of work!	tolik pro barnstar . Opravdu oceňuji získání uznáníto bylo hodně práce !	[0, 0, 0]	NOT
9034	<sen_neg> creating a new section which is sanitized from the other perspectives is not acceptable.	vytváření nové sekce , která je odstraněná z jiných pohledů , není přijatelné .	[1, 1, 0]	ERR
1935	<sen_neg> here is the edit you just warned me for, please stop being a busybody. this is exactly the kind of noob hate i was talking about. thanks.	Tady je úprava , pro kterou jste mě právě varoval , prosím přestaňte být zaneprázdněný . Tohle je přesně ten druh noob nenávist , o kterém jsem mluvil . Díky .	[1, 1, 1]	ERR
1292	<sen_neg> You know perhaps of some better source for astrological claims than astrological jounals? Where, pray tell?	Víte snad o nějakém lepším zdroji pro astrologické tvrzení než o astrologických ženlících ?	[1, 3, 1]	ERR
4421	<sen_pos> Furthermore, the edits were made the clarify and provide better cohesion of the article and avoid unncessary repetition.	Kromě toho byly úpravy provedeny k vyjasnění a poskytnout lepší soudržnost článku a zabránit zbytečnému opakování .	[0, 0, 0]	NOT
4674	<sen_neg> maybe you must no give me contact. maybe i give my contact? we fight for no croatia together. ok? serbin fihgter	Možná mi nesmíš dát kontakt . Možná já dám kontakt ? My spolu bojujeme za žádnou Chorvatsku . OK ? Serbin Fihgter	[1, 0, 0]	ERR
7881	<sen_neg> OK, the references are in the text. Not quite what I wanted. Will continue to work on this. Markup language is not transparent to some of us!!	OK , odkazy jsou v textu . Ne úplně to , co jsem chtěl . Bude pokračovat v práci na tom . Markup jazyk není transparentní pro některé z nás ! !	[0, 0, 0]	NOT
9559	<sen_neg> Opps, I accidently edited your page, faggot! *Drop dead*	Ops , omylem jsem ti upravil stránku , teplouši ! *Drop dead*	[0, 1, 0]	ERR
988	<sen_neg> You removed the infobox; once you were reverted, you should have sought consensus on talk before continuing.	Odstranili jste infobox ; jakmile jste byli navráceni , měli jste se o tom dohodnout dříve , než budete pokračovat .	[0, 0, 0]	NOT
4552	<sen_neg> This section should be removed there are millions of web pages and a lot of them have heavy traffic too, this page adds no value.	Tato část by měla být odstraněna tam jsou miliony webových stránek a spousta z nich mají těžký provoz příliš , tato stránka nepřidává žádnou hodnotu .	[1, 0, 0]	ERR
5828	<sen_neg> Authors of old anthropological books from which I plan to take maps - like Coon, Biasutti or Lundman - are certainly dead already.	Autoři starých antropologických knih , z nichž mám v úmyslu vzít mapy - jako Coon , Biasutti nebo Lundman - jsou jistě již mrtví .	[0, 0, 0]	NOT
5580	<sen_pos> There's a good test of big bang. Big bang predicts that the universe is finite. Where are the edges of it?	Velký bang předpovídá , že vesmír je konečný , kde jsou jeho okraje ?	[0, 0, 1]	ERR
7795	<sen_neg> Agnes Moorehead was listed as having lung cancer. In her bio it states that she died of Uterine Cancer, fixed.	Agnes Moorehead byla zařazena do seznamu s rakovinou plic . V jejím životopise se uvádí , že zemřela na rakovinu děložního čípku .	[0, 0, 0]	NOT
2610	<sen_neg> I've read through them and cant figure out what I've done!	Přečetl jsem je a nemůžu přijít na to , co jsem udělal !	[0, 0, 0]	NOT
6335	<sen_neg> The trivia section of this article seems highly doubtful to me.	Část o triviálních věcech z tohoto článku se mi zdá velmi pochybná .	[0, 0, 0]	NOT
4147	<sen_neu> Hello, I check this personal page very often. Please leave messages here on on the discussion page. Tks. Marvio	Dobrý den , velmi často zkoumám tuto osobní stránku . Prosím , zanechte zprávy zde na diskusní stránce . Tks . Marvio	[0, 0, 0]	NOT
900	<sen_pos> I value your point of view. Thank you for the answer.	Vážím si vašeho názoru a děkuji vám za odpověď .	[0, 0, 0]	NOT
1798	<sen_neu> Requested move Verhildersum Castle → – The addition of Castle is unnecesary.	Požádaný pohyb Verhildersum Castle → – Přidání hradu není nutné .	[0, 0, 1]	ERR
8264	<sen_neu> Well user Burgass has done it again. Just look at this user's constant and strange behaviour in this article.	No , uživatel Burgass to udělal znovu . Jen se podívejte na toto uživatele konstantní a zvláštní chování v tomto článku .	[0, 0, 0]	NOT
7865	<sen_neg> Don't listen to this user. He keeps removing content without discussing it, and claims I am a vandal (which I am not).	Neposlouchejte tohoto uživatele . Pořád odstraňuje obsah , aniž by o něm diskutoval , a tvrdí , že jsem vandal ( což nejsem ) .	[0, 0, 0]	NOT
5546	<sen_neg> WHY??? he is FRENCH so it shud b a francofone title. pretty obvious.	Proč ? ? ? on je Francouz , takže to uzavřeno b francofonní název . dost zřejmé .	[0, 0, 0]	NOT
3295	<sen_neg> hey if refuring to you as a group as freaks is a personall attack then that was as well. no double standards here folks.	Hele , jestli je na tebe jako na skupinu jako na šílence namítání osobním útokem , tak to bylo taky . Žádné dvojí standardy tady , lidi .	[0, 0, 0]	NOT
7565	<sen_pos> Well, better. I will help improve your userpages and all, if you want. Just give me a green light. +	No , lépe . Pomohu vám zlepšit vaše uživatelské stránky a vše , pokud chcete . Jen mi dát zelené světlo . +	[0, 0, 0]	NOT
5873	<sen_neg> DO NOT MESS WITH LIA, WE WILL BEAM YOU WITH OUR LAZORS, HAVE FUN M8	Nemysli si s LIA , budeme tě vysílat s našimi lazery , bavit se M8	[1, 1, 1]	ERR
3434	<sen_neg> Bolt (firearm) Should Bolt (firearm) redirect here?	Bolt ( zbraně ) Měl by se Bolt ( zbraně ) přesměrovat sem ?	[0, 1, 0]	ERR
5778	<sen_neu> The word is mentioned in one of the parts of The Sandman graphic novel.	Toto slovo je zmíněno v jedné z částí grafického románu Sandman .	[0, 0, 0]	NOT
1101	<sen_neg> I'm under the impression that Verizon's service is under the 1900 frequency, so it should be covered by the Triband Network compatibility, correct?	Mám dojem , že Verizonova služba je pod frekvencí 1900 , takže by měla být pokryta kompatibilností sítě Triband , správně ?	[1, 0, 1]	ERR
346	<sen_neg> Do NOT vandalize on pages, like you did to Lake Sammamish State Park. Consider this your final warning.	Nevandalizujte na stránkách , jako jste udělali na Lake Sammamish State Park . Považujte to za své konečné varování .	[0, 0, 0]	NOT
6288	<sen_neg> Please either blank my comment entirely, or leave it alone. It's a signed and dated comment, so to have it changed by another is not on.	Je to podepsaný a datovaný komentář , takže aby byl změněn jiným není na .	[3, 0, 0]	NOT
1250	<sen_pos> There is some good material on the public domain Catholic Encyclopedia here that we can raid.	Je tu nějaký dobrý materiál na veřejnou doménu katolické Encyklopedia zde , že můžeme narazit .	[1, 0, 0]	ERR
2575	<sen_neg> Let me know when you're done with Xu Xusheng, and I'll nom; thinking something simple like ... that Xu Xusheng discovered the Erlitou culture.	Dejte mi vědět , až skončíte s Xu Xushengem , a já vám řeknu , že si myslíte něco jednoduchého jako . . . že Xu Xusheng objevil Erlitou kulturu .	[1, 0, 0]	ERR
1490	<sen_neu> I would also appreciate it if you could drop the condescending tone if you reply. Thank you.	Ráda bych vám také poděkovala , kdybyste mi odpověděla s uctivým tónem .	[0, 0, 1]	ERR
2253	<sen_neu> Hi everyone, welcome to my talk page. Category:User talk pages	Ahoj všem , vítejte na mém diskusním webu . Kategorie : Uživatelské diskusní stránky	[0, 0, 0]	NOT
8750	<sen_pos> Did she climb over the ticket machines like michael jackson? Her face certainly suits that scenario.	Vylezla přes jízdenkové automaty jako Michael Jackson ? Její tvář určitě vyhovuje tomu scénáři .	[0, 0, 0]	NOT
8494	<sen_pos> smart men of their time. got all those bodies in eleven months and were never caught. nice	chytří muži svého času . dostali všechny ty těla za jedenáct měsíců a nikdy nebyli chyceni .	[0, 0, 0]	NOT
146	<sen_neg> People need to keep a better eye on this page. It's had repeated vandalism.	Lidé si na tuhle stránku musí dávat větší pozor , byla to opakovaná vandalismus .	[0, 0, 0]	NOT
1431	<sen_neg> Err.. no, there really is'nt any objectionable content on this show. Are you thinking of Beavis and Butthead?	Ne , na tomhle pořadu opravdu není žádný odporný obsah , myslíš na Beavis a Butthead ?	[1, 0, 0]	ERR
694	<sen_neu> I just made a table of the aircraft inventory. I will gradually redesign the page to meet the standards better.	Právě jsem udělal tabulku inventury letadel . Budu postupně přepracovat stránku , aby splňovala standardy lépe .	[0, 0, 0]	NOT
126	<sen_neg> Addendum: And Tobias, please do not move conversations around after someone complains.	A Tobiasi , prosím , přesuňte rozhovory po tom , co si někdo stěžuje .	[1, 0, 0]	ERR
9252	<sen_neg> You won't find any creditable citations because such claim is a load of racist horse shit.	Nebudete najít žádné důvěryhodné citace , protože takové tvrzení je hromada rasistických koní hovna .	[0, 0, 0]	NOT
8989	<sen_neg> EVERYONE WANTS TO KILL BILL GOD DAM GATES HE IS A NERD WHY NOT.??	Každej chce zabít boží dm , že je šílenec , proč ne ?	[1, 1, 1]	ERR
7960	<sen_neu> Dont know how to sign this but i fixed the reference request you insisted on at the Ataturk page.	Nevím , jak to podepsat , ale opravil jsem žádost o odkaz , na které jste naléhal na stránce Ataturk .	[0, 0, 0]	NOT
8135	<sen_neg> Don't call me a troublemaker you pussy. You're just as much of a racist right-wing nut as Peter fucking Hitchens.	Neříkej mi , že dělám problémy , ty děvko , jsi stejně rasistický pravý blázen jako Peter zkurvený Hitchens .	[0, 0, 0]	NOT
847	<sen_pos> This article is highly innaccurate, and has been written from an ignorant and perverted perspective, on this type of art work from my culture.	Tento článek je velmi nepřesný a byl napsán z nevědomé a perverzní perspektivy , o tomto druhu uměleckého díla z mé kultury .	[0, 0, 0]	NOT
1383	<sen_neg> Jesus christ, now you're deleting my comments? You're a troll of the first order mate.	Ježíši Kriste , teď vymažeš moje poznámky ?	[1, 3, 1]	ERR
6802	<sen_neg> Majorly, would you mind commenting over in that thread?  •	Převážně , mohla byste se na to v té diskusi podívat ? •	[0, 0, 1]	ERR
6708	<sen_neg> I deleted the old conversations but they are archived. Why'd you delete my comment on your wall?	Vymazal jsem staré konverzace , ale jsou archivovány . Proč jste vymazal můj komentář na stěně ?	[0, 0, 0]	NOT
8098	<sen_neu> and a separate issue concerning Talk:Liberty University	a samostatné téma týkající se Talk : Liberty University	[0, 0, 0]	NOT
7078	<sen_neg> Part of the City of Port Alberni (link is a redirect to that city article) *	Část města Port Alberni ( link je přesměr na tento článek města ) *	[0, 0, 0]	NOT
8055	<sen_neg> Removed Trivium from list as they never used BEADGB tuning on Shogun they used 7 String guitars in BEADGBE.	Odstraněno Trivium z seznamu , protože nikdy nepoužívali tuning BEADGB na Shogun používali 7 String kytary v BEADGBE .	[0, 0, 0]	NOT
2346	<sen_neu> Additional sources can be found here: Articles about Jerry Fisk and Fisk Knives.	Další zdroje lze najít zde : Články o Jerry Fisk a Fisk nože .	[0, 1, 1]	ERR
3810	<sen_neg> The object of the match is to put your opponent through a table.	Předmětem zápasu je umístit svého soupeře přes stůl .	[0, 0, 0]	NOT
8523	<sen_neg> your invoking your peronal opinions when you say no snitching nonsense. thats how you feel about it and thats ok. many others disagree	Vyvolávání vašich peronálních názorů , když říkáte , že žádný snitching nesmysl . To je , jak se o tom cítíte a to je v pořádku . mnozí ostatní nesouhlasí	[0, 0, 0]	NOT
7398	<sen_neu> Something generally accepted hardly needs a reference. Something exceptional but valid and noteworthy needs exceptional credible references.	Něco obecně přijaté sotva potřebuje odkaz . Něco výjimečné , ale platné a pozoruhodné potřebuje výjimečné důvěryhodné odkazy .	[0, 0, 0]	NOT
9607	<sen_neg> Please read our guide to appealing blocks for more information.	Pro více informací si prosím přečtěte náš průvodce přijímajícími bloky .	[0, 0, 0]	NOT
2787	<sen_neg> However, the article should not really be primarily about the term but about the concept anyway.	Článek by však neměl hovořit především o pojmu , nýbrž o pojmu .	[1, 0, 1]	ERR
7282	<sen_neu> Have you considered changing your username to Stalinist Bob? Urgel Bogend	Zvážil jste změnu vašeho uživatelského jména na stalinistický Bob ? Urgel Bogend	[0, 0, 0]	NOT
1814	<sen_neu> That's fantastic - thanks. Would you mind if I piped the ref. there rather than your own site? - It's much more suitable.	To je fantastické - děkuju . Vadilo by vám , kdybych tam nainstaloval ref . místo vaší vlastní stránky ?	[0, 1, 1]	ERR
3446	<sen_neu> More at Wikipedia:Village pump (policy)#Advertisement. - wikt	Více na Wikipedii : Village pump ( policy ) #Advertisement . - wikt	[0, 0, 0]	NOT
8847	<sen_neu> REDIRECT Talk:Malignant Narcissism (instrumental)	REDIRECT Rozprava : Malignantní narcizismus ( instrumentální )	[0, 0, 0]	NOT
9849	<sen_neg> This is wrong - there is nothing in the book about Victoriatown	To je špatné - v knize není nic o Victoriatownu .	[0, 0, 0]	NOT
5019	<sen_pos> It is thus ideal for doing a certain kind of subtle sockpuppetry which one can readily disclaim later as unintentional.	Je tedy ideální pro provedení určitého druhu jemných ponožek , které lze později snadno odmítnout jako neúmyslné .	[1, 1, 1]	ERR
5931	<sen_neu> Feel free to add on. I just wanted to get this page started, and now I have writers block xD Mynabull	Jen jsem chtěl , aby tato stránka začala , a teď mám spisovatelé blok xD Mynabull	[0, 0, 0]	NOT
1693	<sen_neu> Some of the famous Tupamaros: Julio Marenales, founder along with Raul Sendic and Eleuterio Fernandez Huidobro.	Někteří z slavných Tupamaros : Julio Marenales , zakladatel spolu s Raul Sendic a Eleuterio Fernandez Huidobro .	[0, 0, 0]	NOT
4823	<sen_pos> Salt in the wounds.... Don't worry, I'll be back again.	Sůl v ranách . . . neboj se , já se vrátím .	[0, 0, 0]	NOT
1955	<sen_neg> At the very least, this article deserves to go through an AfD process.	Tento článek si přinejmenším zaslouží projít procesem AfD .	[0, 0, 0]	NOT
2841	<sen_neu> But if you are willing to do some research, see if you can dig up the original source and exactly what it said in full.	Ale pokud jste ochotni provést nějaké výzkumy , uvidíte , zda můžete vykopat původní zdroj a přesně to , co bylo v plném rozsahu .	[0, 0, 0]	NOT
9959	<sen_pos> Just adding that otherwise I think that this article is an excellent accumulation of knowledge and statistics.	Jen dodat , že jinak si myslím , že tento článek je vynikající akumulace znalostí a statistiky .	[0, 0, 0]	NOT
4577	<sen_neg> And I believe you're being an arse, but hey, I cope....	A já věřím , že jsi zadek , ale já to zvládnu . . .	[1, 1, 1]	ERR
8217	<sen_pos> Great idea! There's lots of background information that would make such a page quite interesting.	Skvělá myšlenka ! Existuje spousta pozadí informací , které by takovou stránku docela zajímavé .	[0, 0, 0]	NOT
3345	<sen_neg> Also, to repeat: your inability or unwillingness to actually understand how a tag works is not an actual reason for deleting a tag. 	Také opakuji : vaše neschopnost nebo neochota skutečně pochopit , jak tag funguje není skutečným důvodem pro odstranění značky .	[0, 0, 0]	NOT
1155	<sen_neu> Is it Sharleen Spiteri singing the song used during breaks on Sky Sports News? (UK digital channel.)	Zpívá Sharleen Spiteri píseň použitou během přestávek na Sky Sports News ? ( UK digitální kanál . )	[0, 0, 0]	NOT
2041	<sen_pos> If you don't think who started it is important I call YOU an IDIOT! IDIOT!	Jestli si nemyslíš , že je důležité , kdo to začal , tak ti říkám IDIOT ! IDIOT !	[0, 0, 0]	NOT
1551	<sen_neu> P.S. Did you not like my style for your homepage?	P . S . Nelíbil se vám můj styl pro vaši domovskou stránku ?	[0, 0, 0]	NOT
2674	<sen_neg> BlackPearl you must be very un educated with computers then	BlackPearl musíš být velmi málo vzdělaný s počítači pak	[0, 0, 0]	NOT
338	<sen_neu> Please help add to the defence that Harman is Shadow DPM.	Prosím , pomozte přidat k obraně , že Harman je Shadow DPM .	[0, 0, 0]	NOT
2409	<sen_neu> This document also lists British Columbia as part of the North Pacific Conference.	Tento dokument také uvádí Britskou Kolumbii jako součást konference Severního Pacifiku .	[0, 0, 0]	NOT
7046	<sen_neu> How about you take a look at the history of the editor novaseminary and this pov pushing in this and other areas before acting. Thanks	Co kdybyste se podívali na historii editora novaseminary a tento pov tlačí v této a dalších oblastech před jednáním . Díky	[0, 0, 0]	NOT
659	<sen_neu> This person has vanadalized a page about Joe Leiberman	Tato osoba zkazil stránku o Joe Leibermanovi	[0, 0, 0]	NOT
3405	<sen_neg> Wtf, Why You deleting Maashel? Bad things will happen to you now.	Proč smažeš Maashel ? Teď se ti stane něco špatného .	[0, 1, 1]	ERR
7031	<sen_neg> THe text is very unclear in this a rticle as to its menaing. Needs rewriting by someone who knows the subject	Tento text je velmi nejasný v této rticle , pokud jde o jeho ohrožující . Potřebuje přepsání někým , kdo zná předmět	[0, 1, 1]	ERR
5717	<sen_neu> yes it did make the album, it is track 15, and confirmed by MTV: the Leak.	ano , udělal album , je to track 15 , a potvrzeno MTV : Leak .	[0, 0, 0]	NOT
8825	<sen_pos> thank you for your explain, i just have sent a message again to dr. Izady, it will work -) new happy year	Díky za vysvětlení , právě jsem poslala zprávu doktorce Izady , bude to fungovat - ) nový šťastný rok	[0, 0, 0]	NOT
782	<sen_neg> If you wish to proceed, I strongly do not recommend waiting until the last minute, as I need sufficient time to read your responses.	Pokud chcete pokračovat , rozhodně nedoporučuji čekat do poslední minuty , protože potřebuji dostatek času , abych si přečetl vaše odpovědi .	[0, 0, 0]	NOT
9012	<sen_neg> This laxity with sourcing is why Wikipedia is a joke on controversial subjects.	Tato laxita s zdrojem je důvodem , proč je Wikipedia vtip na kontroverzní témata .	[0, 0, 0]	NOT
311	<sen_neu> You see, they are colorcoded. Pink, for example, are animals and plants. I din't know till now.	Víš , jsou barevné , například růžové jsou zvířata a rostliny .	[0, 0, 0]	NOT
7646	<sen_neu> Ahh, classic JohnCD, deleting perfectly legitimate new pages as part of his censorship regime. Boomage	Ahh , klasický JohnCD , vymazává naprosto legitimní nové stránky jako součást svého cenzurního režimu .	[0, 0, 1]	ERR
3138	<sen_neg> if there is a chromosone then e=what is it? Small Text	Pokud existuje chromoson pak e=co to je ? Malý text	[0, 0, 0]	NOT
5167	<sen_neg> THESE BOOTS ARE MADE OF PUPPIES. YOU SICK PEOPLE.	Tyhle nohy jsou z štěňátek .	[1, 1, 1]	ERR
2497	<sen_neg> Full Bullshit. I HAVE provide over a dozen references NONE OF WHICH are acceptable to paid whore.	Poskytl jsem víc než tucet odkazů , které jsou přijatelné pro placenou děvku .	[1, 1, 1]	ERR
2260	<sen_neu> am identifiable and so you can tell if I am a conflict of interest or not. . I	jsem identifikovatelné a tak můžete říci , zda jsem střet zájmů nebo ne . .	[0, 0, 0]	NOT
1014	<sen_neg> I have a right to make a discussion on that page. You have no reason to remove what I have said.	Mám právo na diskusi na této stránce . Nemáte důvod odstranit to , co jsem řekl .	[0, 0, 0]	NOT
7867	<sen_neu> WOE TO YOU CPTNONON(you did not passed, so DON'T PASS GO, DON'T COLLECT 200, GO STRAIGHT TO JAIL)	WOE TO YOU CPTNONON ( neprošel jste , takže neprošel jděte , nevybírejte 200 , jděte rovnou do vězení )	[3, 0, 0]	NOT
4220	<sen_neg> so you can pick on Palestinian babies with your homosexual countrymen, all of whom worship and mimic Hitler over anal sex with you	Takže si můžeš vybrat Palestinské děti se svými homosexuálními krajany , kteří všichni uctívají a napodobují Hitlera nad análním sexem s tebou	[0, 3, 0]	NOT
2579	<sen_neu> Claims have to be supported with citations, this is an international page open to all educated people.	Tvrzení musí být podpořeny citacemi , toto je mezinárodní stránka otevřená všem vzdělaným lidem .	[0, 0, 0]	NOT
9400	<sen_neg> that ist the evidence that something is wrong with you, ain't?	To je důkaz , že se s tebou něco děje , že ?	[0, 0, 0]	NOT
4097	<sen_neg> Last I checked Wikipedia was run out of (God blesss) America!!!	Naposledy , co jsem zkontroloval , že Wikipedia byla vypuštěná z ( Bože požehná ) Ameriky ! ! !	[0, 0, 3]	NOT
9096	<sen_neg> everyone of those supporters above is a native German speaker.	Všichni z těch podporovatelů výše jsou rodilými mluvčími němčiny .	[0, 0, 0]	NOT
4960	<sen_neg> WJB-I admire you for asking Ryulong to step down-he didn't deserve adminship in the first place.	WJB - obdivuji vás , že jste požádal Ryulonga , aby odstoupil - nezasloužil si administrativu na prvním místě .	[0, 0, 0]	NOT
1263	<sen_neg> No I didn't create it, nor do I know that it would be an impostor or just someone with the same initial and last name.	Ne , nestvořil jsem ho , ani nevím , že by to byl podvodník nebo jen někdo se stejným počátečním a příjmením .	[0, 0, 0]	NOT
5225	<sen_neg> REDIRECT Talk:Lists of U.S. cities with large ethnic minority populations	REDIRECT Talk : Seznamy amerických měst s velkými populacemi etnických menšin	[0, 0, 0]	NOT
9976	<sen_neu> us before any more of the sort of edits you’ve been making on CAD-related articles this week	před dalšími úpravami , které jste dělali na CAD - související články tento týden	[0, 0, 0]	NOT
7732	<sen_neg> It was here in the US though.. I don't understand why there are all these issues with pics here on wikipedia, they don't care on other sites.	Bylo to tady v USA , I když . . Nechápu , proč jsou všechny tyto problémy s fotkami tady na wikipedia , je jim jedno na jiných stránkách .	[0, 0, 0]	NOT
2331	<sen_neg> Piss off and get a life. I write whatever I want to write.	Psal jsem , co jsem chtěl .	[3, 1, 1]	ERR
9084	<sen_neg> I just moved it again and will tag the old title for deletion.	Právě jsem ji přesunul znovu a bude označovat starý název pro odstranění .	[0, 0, 0]	NOT
6180	<sen_pos> The radical left loves to try to make Bush=Hitler parallels, so naturally there'd be allusions to the Nazis in an anti-Bush film.	Radikální levice se ráda snaží dělat Bush=Hitler paralely , takže přirozeně by v antibušském filmu byly nazývky na nacisty .	[0, 0, 1]	ERR
3209	<sen_neu> Just wondering about the ORM's who broke away in or about 2000ad Does anybody know what became of them? tildes	Jen se zajímám o ORM ' s , kteří se rozešli v roce 2000 nebo kolem , Ví někdo , co se stalo s nimi ? Tildes	[0, 0, 0]	NOT
277	<sen_neu> Basically, I agree with Ortolan. In any case, it's not worth arguing this much over.	V podstatě souhlasím s Ortolanem , v každém případě to nestojí za to , aby se o tom tak moc diskutovalo .	[0, 0, 0]	NOT
6879	<sen_pos> I need for you to become more aquainted with myself.	Potřebuju , aby ses se mnou více potopila .	[1, 1, 1]	ERR
2435	<sen_pos> Wikipedia is great!!! I'm 13 and love editing for misspellings and such.	Wikipedie je skvělá ! ! ! Jsem 13 a miluji editaci pro chybné pravopisy a tak .	[0, 1, 0]	ERR
772	<sen_pos> Also useful as a serious source! Thank you for that. Who wants to add this into what's already there?	Také užitečné jako vážné zdroje ! Děkuju vám za to . Kdo chce přidat tohle do toho , co už je tam ?	[0, 0, 0]	NOT
8855	<sen_neg> Yeah, I was pretty sure his voice is that way because of serious drug and alcohol problems. Add that to rumors too?	Jo , byl jsem si docela jistý , že jeho hlas je takový kvůli vážným problémům s drogami a alkoholem .	[0, 0, 0]	NOT
6632	<sen_neg> who the boofhead are you fuckwit telling me what to do. what a bitch - Bainyrues	Kdo je ten blbec , co mi říkáš , co mám dělat . Jaká děvka - Bainyrues	[0, 1, 1]	ERR
2342	<sen_pos> I was interested enough to respond and correct your viewpoint. Good luck	Byl jsem natolik zainteresován , abych reagoval a opravil váš názor . Hodně štěstí	[0, 0, 0]	NOT
6558	<sen_neu> What would be the point of Welsh names on an Irish calendar? They have their own culture; they can have their own calendar.	Jaký by byl smysl velšských jmen na irském kalendáři ? Mají svou vlastní kulturu , mohou mít svůj vlastní kalendář .	[0, 0, 0]	NOT
6248	<sen_neg> suck my dick. suck mybig harry ballsack and shove it.	Kurva můj péro . Kurva můj velký harry balíček a strčit ho .	[3, 1, 1]	ERR
2133	<sen_neu> Thank you You are doing a better job of this than I am. I fear I am mostly alienating people.	Děláš to lépe , než já . Obávám se , že většinu lidí odcizím .	[0, 1, 0]	ERR
969	<sen_neg> A YouTube video is not a reliable source, and there is no reliable published article about Wait For You plagiarism.	YouTube video není spolehlivý zdroj , a neexistuje žádný spolehlivý publikovaný článek o počkat na vás plagiatismus .	[1, 0, 1]	ERR
6190	<sen_neg> Am I able to remove everything since I was tagged for copyright and then work on it and then post it again with my own words?	Mohu odstranit všechno od té doby , co jsem byl označen pro autorská práva a pak pracovat na tom a pak ho znovu napsat se svými vlastními slovy ?	[0, 0, 0]	NOT
9493	<sen_neu> See Human influenza for a model of how to develop this article.	Viz lidská chřipka pro model , jak vyvinout tento článek .	[0, 0, 0]	NOT
